"grid","year","severity","chs","low","mid","high","presumptive"
"standard",2005,"2","2",13,13,13,"stay"
"standard",2006,"2","2",13,13,13,"stay"
"standard",2007,"2","2",13,13,13,"stay"
"standard",2008,"2","2",13,13,13,"stay"
"standard",2009,"2","2",13,13,13,"stay"
"standard",2010,"2","2",13,13,13,"stay"
"standard",2011,"2","2",13,13,13,"stay"
"standard",2012,"2","2",13,13,13,"stay"
"standard",2013,"2","2",13,13,13,"stay"
"standard",2014,"2","2",13,13,13,"stay"
"standard",2015,"2","2",13,13,13,"stay"
"standard",2016,"2","2",13,13,13,"stay"
"standard",2017,"2","2",13,13,13,"stay"
"standard",2018,"2","2",13,13,13,"stay"
"standard",2019,"2","2",13,13,13,"stay"
"standard",2020,"2","2",13,13,13,"stay"
"standard",2002,"2","3",15,15,15,"stay"
"standard",2003,"2","3",15,15,15,"stay"
"standard",2004,"2","3",15,15,15,"stay"
"standard",2005,"2","3",15,15,15,"stay"
"standard",2006,"2","3",15,15,15,"stay"
"standard",2007,"2","3",15,15,15,"stay"
"standard",2008,"2","3",15,15,15,"stay"
"standard",2009,"2","3",15,15,15,"stay"
"standard",2010,"2","3",15,15,15,"stay"
"standard",2011,"2","3",15,15,15,"stay"
"standard",2012,"2","3",15,15,15,"stay"
"standard",2013,"2","3",15,15,15,"stay"
"standard",2014,"2","3",15,15,15,"stay"
"standard",2015,"2","3",15,15,15,"stay"
"standard",2016,"2","3",15,15,15,"stay"
"standard",2017,"2","3",15,15,15,"stay"
"standard",2018,"2","3",15,15,15,"stay"
"standard",2019,"2","3",15,15,15,"stay"
"standard",2020,"2","3",15,15,15,"stay"
"standard",2002,"2","4",17,17,17,"stay"
"standard",2003,"2","4",17,17,17,"stay"
"standard",2004,"2","4",17,17,17,"stay"
"standard",2005,"2","4",17,17,17,"stay"
"standard",2006,"2","4",17,17,17,"stay"
"standard",2007,"2","4",17,17,17,"stay"
"standard",2008,"2","4",17,17,17,"stay"
"standard",2009,"2","4",17,17,17,"stay"
"standard",2010,"2","4",17,17,17,"stay"
"standard",2011,"2","4",17,17,17,"stay"
"standard",2012,"2","4",17,17,17,"stay"
"standard",2013,"2","4",17,17,17,"stay"
"standard",2014,"2","4",17,17,17,"stay"
"standard",2015,"2","4",17,17,17,"stay"
"standard",2016,"2","4",17,17,17,"stay"
"standard",2017,"2","4",17,17,17,"stay"
"standard",2018,"2","4",17,17,17,"stay"
"standard",2019,"2","4",17,17,17,"stay"
"standard",2020,"2","4",17,17,17,"stay"
"standard",2002,"2","5",19,19,19,"stay"
"standard",2003,"2","5",19,19,19,"stay"
"standard",2004,"2","5",19,19,19,"stay"
"standard",2005,"2","5",19,19,19,"stay"
"standard",2006,"2","5",19,19,19,"stay"
"standard",2007,"2","5",19,19,19,"stay"
"standard",2008,"2","5",19,19,19,"stay"
"standard",2009,"2","5",19,19,19,"stay"
"standard",2010,"2","5",19,19,19,"stay"
"standard",2011,"2","5",19,19,19,"stay"
"standard",2012,"2","5",19,19,19,"stay"
"standard",2013,"2","5",19,19,19,"stay"
"standard",2014,"2","5",19,19,19,"stay"
"standard",2015,"2","5",19,19,19,"stay"
"standard",2016,"2","5",19,19,19,"stay"
"standard",2017,"2","5",19,19,19,"stay"
"standard",2018,"2","5",19,19,19,"stay"
"standard",2019,"2","5",19,19,19,"stay"
"standard",2020,"2","5",19,19,19,"stay"
"standard",2002,"2","6",20,21,22,"commit"
"standard",2003,"2","6",20,21,22,"commit"
"standard",2004,"2","6",20,21,22,"commit"
"standard",2005,"2","6",18,21,25,"commit"
"standard",2006,"2","6",18,21,25,"commit"
"standard",2007,"2","6",18,21,25,"commit"
"standard",2008,"2","6",18,21,25,"commit"
"standard",2009,"2","6",18,21,25,"commit"
"standard",2010,"2","6",18,21,25,"commit"
"standard",2011,"2","6",18,21,25,"commit"
"standard",2012,"2","6",18,21,25,"commit"
"standard",2013,"2","6",18,21,25,"commit"
"standard",2014,"2","6",18,21,25,"commit"
"standard",2015,"2","6",18,21,25,"commit"
"standard",2016,"2","6",18,21,25,"commit"
"standard",2017,"2","6",18,21,25,"commit"
"standard",2018,"2","6",18,21,25,"commit"
"standard",2019,"2","6",18,21,25,"commit"
"standard",2020,"2","6",18,21,25,"commit"
"standard",2002,"3","0",12,12,12,"stay"
"standard",2003,"3","0",12,12,12,"stay"
"standard",2004,"3","0",12,12,12,"stay"
"standard",2005,"3","0",12,12,12,"stay"
"standard",2006,"3","0",12,12,12,"stay"
"standard",2007,"3","0",12,12,12,"stay"
"standard",2008,"3","0",12,12,12,"stay"
"standard",2009,"3","0",12,12,12,"stay"
"standard",2010,"3","0",12,12,12,"stay"
"standard",2011,"3","0",12,12,12,"stay"
"standard",2012,"3","0",12,12,12,"stay"
"standard",2013,"3","0",12,12,12,"stay"
"standard",2014,"3","0",12,12,12,"stay"
"standard",2015,"3","0",12,12,12,"stay"
"standard",2016,"3","0",12,12,12,"stay"
"standard",2017,"3","0",12,12,12,"stay"
"standard",2018,"3","0",12,12,12,"stay"
"standard",2019,"3","0",12,12,12,"stay"
"standard",2020,"3","0",12,12,12,"stay"
"standard",2002,"3","1",13,13,13,"stay"
"standard",2003,"3","1",13,13,13,"stay"
"standard",2004,"3","1",13,13,13,"stay"
"standard",2005,"3","1",13,13,13,"stay"
"standard",2006,"3","1",13,13,13,"stay"
"standard",2007,"3","1",13,13,13,"stay"
"standard",2008,"3","1",13,13,13,"stay"
"standard",2009,"3","1",13,13,13,"stay"
"standard",2010,"3","1",13,13,13,"stay"
"standard",2011,"3","1",13,13,13,"stay"
"standard",2012,"3","1",13,13,13,"stay"
"standard",2013,"3","1",13,13,13,"stay"
"standard",2014,"3","1",13,13,13,"stay"
"standard",2015,"3","1",13,13,13,"stay"
"standard",2016,"3","1",13,13,13,"stay"
"standard",2017,"3","1",13,13,13,"stay"
"standard",2018,"3","1",13,13,13,"stay"
"standard",2019,"3","1",13,13,13,"stay"
"standard",2020,"3","1",13,13,13,"stay"
"standard",2002,"3","2",15,15,15,"stay"
"standard",2003,"3","2",15,15,15,"stay"
"standard",2004,"3","2",15,15,15,"stay"
"standard",2005,"3","2",15,15,15,"stay"
"standard",2006,"3","2",15,15,15,"stay"
"standard",2007,"3","2",15,15,15,"stay"
"standard",2008,"3","2",15,15,15,"stay"
"standard",2009,"3","2",15,15,15,"stay"
"standard",2010,"3","2",15,15,15,"stay"
"standard",2011,"3","2",15,15,15,"stay"
"standard",2012,"3","2",15,15,15,"stay"
"standard",2013,"3","2",15,15,15,"stay"
"standard",2014,"3","2",15,15,15,"stay"
"standard",2015,"3","2",15,15,15,"stay"
"standard",2016,"3","2",15,15,15,"stay"
"standard",2017,"3","2",15,15,15,"stay"
"standard",2018,"3","2",15,15,15,"stay"
"standard",2019,"3","2",15,15,15,"stay"
"standard",2020,"3","2",15,15,15,"stay"
"standard",2002,"3","3",17,17,17,"stay"
"standard",2003,"3","3",17,17,17,"stay"
"standard",2004,"3","3",17,17,17,"stay"
"standard",2005,"3","3",17,17,17,"stay"
"standard",2006,"3","3",17,17,17,"stay"
"standard",2007,"3","3",17,17,17,"stay"
"standard",2008,"3","3",17,17,17,"stay"
"standard",2009,"3","3",17,17,17,"stay"
"standard",2010,"3","3",17,17,17,"stay"
"standard",2011,"3","3",17,17,17,"stay"
"standard",2012,"3","3",17,17,17,"stay"
"standard",2013,"3","3",17,17,17,"stay"
"standard",2014,"3","3",17,17,17,"stay"
"standard",2015,"3","3",17,17,17,"stay"
"standard",2016,"3","3",17,17,17,"stay"
